Infrastructure_Type,Defect_Location,Defect_Length_mm,Defect_Width_mm,Defect_Depth_mm,Severity_Level,Lighting_Condition,Occlusion_Level,Inspection_Mode,Target_Defect_Class
Bridge,Deck,474.79,26.97,27.17,Medium,Normal,Severe,Ground,Healthy
Bridge,Wall,481.34,43.01,29.44,High,Low,None,Fixed Camera,Healthy
Tunnel,Beam,312.35,16.63,51.62,High,Low,Partial,Ground,Healthy
Road,Deck,464.69,47.73,80.86,Medium,Low,None,UAV,Deformation
Road,Deck,381.62,6.53,5.94,Low,Normal,Severe,UAV,Spalling
Tunnel,Beam,275.7,1.4,60.74,Medium,Low,Severe,Ground,Corrosion
Road,Surface,94.25,45.25,80.87,Medium,Low,Partial,Ground,Corrosion
Road,Deck,232.01,3.9,16.53,Low,Low,Severe,UAV,Healthy
Bridge,Surface,282.63,49.6,2.49,Low,Low,Severe,UAV,Corrosion
Road,Beam,432.66,47.59,31.96,Low,Normal,Partial,Ground,Crack
Road,Surface,243.26,7.28,59.23,High,High,Partial,Ground,Crack
Tunnel,Column,449.35,27.11,14.69,Low,High,None,UAV,Deformation
Tunnel,Wall,338.8,9.65,43.19,High,Low,Partial,Fixed Camera,Deformation
Building,Deck,72.81,21.69,55.68,Low,Low,Severe,UAV,Corrosion
Bridge,Wall,497.52,3.54,60.29,Low,Low,Partial,Ground,Crack
Road,Surface,265.98,11.58,28.17,Medium,Normal,Severe,Ground,Spalling
Road,Deck,198.97,18.48,40.6,Medium,Low,None,Fixed Camera,Crack
Building,Surface,331.26,22.21,78.06,Low,Normal,Partial,UAV,Spalling
Road,Column,58.9,48.89,94.18,Low,Low,Severe,Ground,Corrosion
Bridge,Beam,320.09,40.49,86.33,Low,Low,Partial,UAV,Healthy
Building,Deck,251.63,37.0,56.86,Low,High,Partial,Ground,Spalling
Bridge,Column,206.3,27.08,41.62,Low,Low,Partial,Fixed Camera,Spalling
Building,Column,476.74,42.08,33.96,High,Normal,Partial,UAV,Deformation
Building,Deck,263.66,17.3,13.37,Medium,High,None,UAV,Corrosion
Tunnel,Surface,113.46,35.59,11.55,Medium,Normal,Severe,Fixed Camera,Crack
Bridge,Column,232.19,49.69,69.15,Low,High,Partial,Ground,Spalling
Road,Wall,460.1,16.07,26.72,Low,Normal,Severe,Ground,Healthy
Road,Column,92.17,33.86,26.21,Low,High,None,UAV,Corrosion
Bridge,Surface,110.91,42.29,99.82,Medium,Normal,Severe,Fixed Camera,Spalling
Road,Surface,11.45,45.83,19.6,Medium,Normal,Severe,UAV,Healthy
Road,Wall,12.02,36.04,15.66,Low,Low,None,UAV,Deformation
Bridge,Column,415.55,14.54,10.77,High,High,Partial,Ground,Spalling
Building,Surface,367.4,16.65,58.4,Medium,High,Severe,Ground,Deformation
Bridge,Deck,180.75,1.53,63.16,Low,Low,Severe,Ground,Healthy
Building,Beam,350.66,38.16,37.16,Low,Normal,Partial,Ground,Healthy
Road,Beam,200.63,2.62,54.01,Medium,Normal,Partial,Ground,Healthy
Road,Beam,476.68,43.3,79.05,High,High,Severe,Fixed Camera,Spalling
Road,Column,483.69,6.37,81.99,Low,Normal,None,UAV,Corrosion
Tunnel,Wall,199.43,9.01,95.83,Low,High,Partial,Fixed Camera,Crack
Building,Surface,427.84,24.09,82.6,Medium,High,Partial,UAV,Corrosion
Tunnel,Deck,387.68,37.03,56.92,Low,Normal,None,Ground,Healthy
Tunnel,Deck,158.45,7.38,18.79,Medium,Normal,Severe,Fixed Camera,Healthy
Bridge,Column,119.86,22.28,10.88,Medium,Normal,Partial,UAV,Spalling
Tunnel,Beam,231.83,24.4,6.4,Low,Low,Severe,Ground,Spalling
Bridge,Column,391.77,11.01,66.99,Low,High,Severe,Ground,Corrosion
Bridge,Wall,480.28,6.22,80.95,Medium,Normal,Severe,Fixed Camera,Corrosion
Tunnel,Wall,382.97,41.9,51.36,Low,Low,None,Fixed Camera,Deformation
Building,Surface,428.33,25.37,6.42,Low,Normal,Severe,Fixed Camera,Corrosion
Building,Surface,303.52,1.21,54.01,High,High,Severe,Ground,Crack
Building,Wall,418.53,40.25,93.64,Low,Low,Partial,UAV,Spalling
Building,Wall,393.29,49.05,60.16,Medium,High,Partial,UAV,Crack
Building,Wall,191.61,30.49,81.13,Low,Normal,None,Fixed Camera,Healthy
Tunnel,Column,278.24,25.43,80.22,Medium,Normal,None,UAV,Corrosion
Tunnel,Wall,403.35,43.98,93.28,Low,Normal,Partial,Ground,Healthy
Road,Deck,27.8,47.65,77.25,High,Low,Partial,UAV,Crack
Building,Beam,405.0,37.85,75.02,Medium,Low,None,Ground,Crack
Tunnel,Wall,93.05,22.55,24.18,Low,Low,Severe,Fixed Camera,Spalling
Road,Beam,259.77,29.81,6.93,Medium,Low,None,UAV,Deformation
Building,Column,405.1,35.2,52.24,Low,Normal,Severe,Ground,Spalling
Bridge,Beam,130.64,10.12,13.32,Medium,Normal,Partial,Fixed Camera,Crack
Road,Column,126.67,22.64,96.26,High,Normal,Partial,Fixed Camera,Crack
Tunnel,Deck,204.37,41.58,29.7,Medium,Low,Partial,Fixed Camera,Spalling
Bridge,Column,447.85,32.91,85.44,Low,Low,Severe,Fixed Camera,Crack
Bridge,Column,5.22,20.85,39.37,Medium,Normal,None,UAV,Corrosion
Bridge,Surface,451.18,33.34,33.0,Low,Normal,Severe,Ground,Spalling
Road,Wall,81.13,6.35,93.58,High,Low,None,UAV,Crack
Tunnel,Wall,495.09,20.37,36.97,Medium,High,None,Ground,Crack
Bridge,Deck,477.65,39.76,39.64,Low,Normal,None,Fixed Camera,Crack
Building,Deck,249.86,11.42,11.5,Low,Normal,Partial,UAV,Healthy
Bridge,Wall,258.8,9.71,67.37,High,Normal,None,Fixed Camera,Corrosion
Bridge,Surface,243.37,47.57,29.6,High,Low,Partial,Ground,Healthy
Road,Wall,319.54,10.89,58.97,Low,Normal,None,Fixed Camera,Corrosion
Road,Surface,49.91,13.42,59.54,Low,Normal,None,UAV,Deformation
Tunnel,Deck,21.15,48.5,72.2,Medium,Normal,Partial,UAV,Crack
Building,Beam,33.56,36.87,74.78,Low,Normal,Partial,Ground,Corrosion
Road,Deck,224.96,35.13,51.93,Low,Normal,Severe,Ground,Deformation
Bridge,Deck,141.4,42.72,33.77,Low,High,None,UAV,Deformation
Tunnel,Column,312.91,6.23,83.91,Low,High,Partial,UAV,Deformation
Bridge,Column,496.26,35.44,31.68,Medium,Normal,Severe,UAV,Deformation
Bridge,Column,196.23,25.43,51.24,High,Normal,Severe,UAV,Crack
Road,Column,289.05,41.54,40.72,Medium,Normal,Partial,Ground,Corrosion
Tunnel,Surface,210.72,25.65,85.65,Low,Normal,None,UAV,Corrosion
Building,Wall,424.4,31.2,43.76,Medium,Low,Severe,Ground,Healthy
Building,Beam,451.61,24.15,39.22,Medium,Low,None,UAV,Corrosion
Road,Deck,439.29,24.17,69.29,Low,Low,None,UAV,Healthy
Road,Surface,487.31,38.51,60.64,High,High,Severe,Fixed Camera,Corrosion
Tunnel,Beam,18.62,31.61,11.62,Medium,Normal,Partial,Fixed Camera,Spalling
Building,Surface,420.71,31.85,51.31,High,Low,None,UAV,Crack
Building,Surface,377.13,22.79,73.81,Medium,Normal,Partial,Ground,Corrosion
Building,Deck,118.2,26.79,99.22,Medium,Normal,Severe,UAV,Deformation
Bridge,Wall,478.38,37.41,63.29,Low,High,None,Fixed Camera,Spalling
Building,Column,78.35,41.38,37.66,Medium,High,Partial,UAV,Healthy
Bridge,Wall,341.38,34.98,23.39,Low,Low,Partial,Fixed Camera,Deformation
Tunnel,Deck,116.32,46.24,87.41,High,Low,None,UAV,Spalling
Bridge,Deck,218.53,41.11,81.64,High,High,Partial,UAV,Healthy
Tunnel,Deck,360.98,28.31,24.16,High,High,Partial,Ground,Spalling
Building,Beam,283.85,33.73,20.86,Medium,Normal,Severe,Fixed Camera,Spalling
Building,Wall,216.61,46.35,71.8,High,Normal,Severe,Fixed Camera,Crack
Tunnel,Wall,166.54,31.15,32.18,Low,Low,Partial,Fixed Camera,Corrosion
Road,Surface,420.63,41.33,31.33,Medium,Low,Partial,Ground,Deformation
Tunnel,Surface,76.19,34.6,16.08,Medium,High,None,UAV,Healthy
Road,Surface,217.9,27.82,27.13,Medium,Low,Severe,Ground,Corrosion
Bridge,Deck,452.36,12.47,43.32,Medium,Normal,None,UAV,Crack
Bridge,Wall,423.7,21.59,73.55,Low,High,Partial,Ground,Spalling
Bridge,Deck,203.47,48.4,34.29,Low,Normal,None,Ground,Crack
Building,Beam,382.74,33.06,33.53,High,High,Partial,Fixed Camera,Deformation
Bridge,Surface,412.46,28.44,29.21,Medium,High,Severe,Ground,Deformation
Road,Deck,445.0,46.68,48.35,Low,Normal,Severe,UAV,Corrosion
Bridge,Deck,274.53,29.53,18.88,High,Low,Partial,Ground,Healthy
Tunnel,Beam,106.21,26.54,49.08,High,Low,Severe,Ground,Spalling
Tunnel,Column,131.38,38.09,70.71,Low,Low,Partial,UAV,Spalling
Building,Wall,151.37,35.78,3.95,High,Low,None,Fixed Camera,Crack
Tunnel,Column,298.93,10.06,1.97,High,Normal,Partial,UAV,Corrosion
Road,Surface,21.24,23.83,8.44,High,High,None,UAV,Healthy
Bridge,Deck,319.84,23.89,54.03,High,Normal,Partial,UAV,Crack
Building,Beam,185.36,19.22,85.59,Medium,Low,Severe,Ground,Corrosion
Bridge,Beam,151.14,26.11,1.48,Low,Low,Partial,Ground,Corrosion
Bridge,Wall,440.35,20.95,93.73,Low,Normal,Partial,UAV,Crack
Road,Column,232.7,10.37,11.52,Low,High,Partial,UAV,Corrosion
Tunnel,Wall,52.05,20.91,84.36,Medium,Normal,Severe,Fixed Camera,Crack
Tunnel,Deck,414.24,4.08,48.8,Low,Normal,Partial,Ground,Healthy
Bridge,Wall,28.58,29.0,66.28,Low,Normal,Severe,Ground,Deformation
Building,Beam,364.74,42.76,51.56,Low,High,Partial,Ground,Corrosion
Tunnel,Beam,388.08,36.4,48.23,Low,Normal,None,Ground,Deformation
Building,Surface,179.54,18.34,83.66,High,Normal,Partial,UAV,Crack
Tunnel,Surface,413.27,4.81,75.83,Low,Low,None,UAV,Spalling
Building,Deck,260.25,10.51,48.86,Medium,Normal,Severe,Fixed Camera,Crack
Road,Column,234.33,27.5,12.05,Medium,Low,Severe,Ground,Crack
Building,Wall,27.47,10.75,12.42,Low,Low,Partial,Ground,Healthy
Road,Deck,148.56,27.43,80.35,High,Low,Severe,UAV,Crack
Road,Surface,465.85,11.96,53.41,Medium,High,Partial,Fixed Camera,Deformation
Building,Wall,198.95,42.52,48.68,Low,Low,Severe,UAV,Corrosion
Road,Surface,275.62,20.16,68.38,Low,Normal,None,Ground,Crack
Bridge,Wall,268.35,12.65,86.03,Low,Normal,Severe,Ground,Deformation
Road,Column,297.26,40.71,63.26,Low,Low,None,Fixed Camera,Spalling
Tunnel,Deck,35.36,17.47,76.52,Low,Low,Partial,UAV,Corrosion
Building,Wall,184.28,6.02,76.76,Medium,Normal,Partial,Ground,Corrosion
Bridge,Beam,362.95,28.74,36.27,High,Low,Partial,Ground,Crack
Building,Beam,104.28,29.29,28.13,Medium,High,None,Fixed Camera,Healthy
Tunnel,Wall,105.77,35.88,80.32,Low,Low,Partial,Ground,Corrosion
Tunnel,Wall,9.99,12.39,38.34,Low,High,Partial,Ground,Crack
Tunnel,Wall,221.55,22.47,90.43,Medium,High,None,UAV,Healthy
Road,Beam,441.95,14.48,7.9,Low,High,Severe,Fixed Camera,Crack
Road,Beam,30.69,4.51,6.76,Low,Low,Partial,Fixed Camera,Crack
Building,Wall,99.6,43.89,92.77,High,High,Severe,Fixed Camera,Corrosion
Building,Surface,158.49,36.58,65.2,Low,High,Severe,UAV,Spalling
Bridge,Surface,367.2,15.42,38.58,High,Low,Partial,Fixed Camera,Crack
Bridge,Column,322.11,30.17,75.75,Low,High,Partial,Ground,Corrosion
Building,Deck,210.89,10.46,67.56,High,Low,None,Fixed Camera,Healthy
Road,Surface,380.74,44.57,53.59,Medium,Normal,None,Ground,Crack
Tunnel,Beam,306.77,6.19,10.79,Medium,High,Partial,Fixed Camera,Corrosion
Building,Surface,448.54,0.69,81.41,Low,Low,Severe,Fixed Camera,Corrosion
Bridge,Column,409.92,25.35,86.74,High,Normal,None,UAV,Spalling
Road,Column,130.14,29.36,18.04,High,High,None,Fixed Camera,Healthy
Building,Deck,139.36,29.16,85.2,Medium,High,Partial,Fixed Camera,Corrosion
Building,Surface,67.05,3.2,87.91,Medium,Low,Partial,UAV,Crack
Road,Beam,171.8,16.05,55.39,Medium,Normal,Partial,Ground,Corrosion
Building,Beam,499.77,25.21,65.96,Low,Low,Partial,Fixed Camera,Crack
Road,Wall,205.85,11.22,38.84,Medium,High,None,Fixed Camera,Spalling
Tunnel,Beam,114.14,43.69,28.9,High,High,None,Ground,Crack
Road,Deck,382.43,4.81,72.48,Low,High,None,UAV,Corrosion
Road,Deck,273.52,24.63,86.33,Low,High,Severe,Fixed Camera,Spalling
Road,Beam,79.05,34.73,65.75,Medium,Normal,None,UAV,Crack
Building,Beam,193.44,13.46,51.65,Medium,Normal,None,Ground,Spalling
